Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Mike Adras,Northern Arizona,Big Sky,15.0,13.0,0.536,,,,1999-00,64.0,52.0,0.552,1.0,,,,64,52,0.552,1.0,,,
Steve Aggers,Loyola Marymount,WCC,11.0,20.0,0.355,,,,2000-01,29.0,59.0,0.33,,,,,80,141,0.362,,,,
Cy Alexander,South Carolina State,MEAC,20.0,11.0,0.645,,,Lost First Round,1987-88,276.0,200.0,0.58,5.0,,,,276,200,0.58,5.0,,,
Steve Alford,Iowa,Big Ten,17.0,14.0,0.548,,,,1999-00,73.0,58.0,0.557,1.0,,,,151,106,0.588,2.0,1.0,,
Frankie Allen,Howard,MEAC,13.0,17.0,0.433,,,,2000-01,41.0,48.0,0.461,,,,,212,249,0.46,2.0,,,
Dana Altman,Creighton,MVC,29.0,5.0,0.853,,15.0,Lost First Round,1994-95,175.0,100.0,0.636,5.0,,,,258,167,0.607,6.0,,,
Tommy Amaker,Michigan,Big Ten,17.0,13.0,0.567,,,,2001-02,28.0,31.0,0.475,,,,,96,86,0.527,1.0,1.0,,
Mike Anderson Sr,UAB,CUSA,21.0,13.0,0.618,,,,2002-03,21.0,13.0,0.618,,,,,21,13,0.618,,,,
Tevester Anderson,Murray State,OVC,17.0,12.0,0.586,,,,1998-99,103.0,52.0,0.665,2.0,,,,103,52,0.665,2.0,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,128,108,0.542,2.0,,,
Rick Barnes,Texas,Big 12,26.0,7.0,0.788,4.0,5.0,Lost National Semifinal,1998-99,116.0,50.0,0.699,5.0,2.0,1.0,,318,184,0.633,11.0,3.0,1.0,
Rod Barnes,Ole Miss,SEC,14.0,15.0,0.483,,,,1998-99,100.0,61.0,0.621,3.0,1.0,,,100,61,0.621,3.0,1.0,,
Jim Baron,Rhode Island,A-10,19.0,12.0,0.613,,,,2001-02,27.0,32.0,0.458,,,,,233,234,0.499,2.0,,,
Butch Beard,Morgan State,MEAC,7.0,22.0,0.241,,,,2001-02,10.0,47.0,0.175,,,,,55,116,0.322,1.0,,,
John Beilein,West Virginia,Big East,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,203,130,0.61,2.0,,,
Bart Bellairs,VMI,Southern,10.0,20.0,0.333,,,,1994-95,101.0,151.0,0.401,,,,,101,151,0.401,,,,
Randy Bennett,Saint Mary's,WCC,15.0,15.0,0.5,,,,2001-02,24.0,35.0,0.407,,,,,24,35,0.407,,,,
Henry Bibby,USC,Pac-10,13.0,17.0,0.433,,,,1995-96,117.0,103.0,0.532,3.0,1.0,,,117,103,0.532,3.0,1.0,,
Eddie Biedenbach,UNC Asheville,Big South,15.0,17.0,0.469,,,Lost First Round,1996-97,102.0,101.0,0.502,1.0,,,,131,152,0.463,1.0,,,
Dave Bike,Sacred Heart,NEC,8.0,21.0,0.276,,,,1999-00,26.0,87.0,0.23,,,,,26,87,0.23,,,,
Ricky Blanton,Nicholls State,Southland,3.0,25.0,0.107,,,,2002-03,3.0,25.0,0.107,,,,,3,25,0.107,,,,
Dave Bliss,Baylor,Big 12,14.0,14.0,0.5,,,,1999-00,61.0,57.0,0.517,,,,,526,328,0.616,11.0,1.0,,
Jim Boeheim,Syracuse,Big East,30.0,5.0,0.857,,13.0,Won National Final,1976-77,653.0,226.0,0.743,22.0,12.0,3.0,1.0,653,226,0.743,22.0,12.0,3.0,1.0
Jim Boone,Eastern Michigan,MAC,14.0,14.0,0.5,,,,2000-01,23.0,63.0,0.267,,,,,68,129,0.345,,,,
Rick Boyages,William & Mary,CAA,12.0,16.0,0.429,,,,2000-01,33.0,52.0,0.388,,,,,33,52,0.388,,,,
John Brady,LSU,SEC,21.0,11.0,0.656,,,Lost First Round,1997-98,102.0,81.0,0.557,2.0,1.0,,,191,158,0.547,2.0,1.0,,
Bobby Braswell,Cal State Northridge,Big West,14.0,15.0,0.483,,,,1996-97,111.0,94.0,0.541,1.0,,,,111,94,0.541,1.0,,,
Ben Braun,California,Pac-10,22.0,9.0,0.71,,,Lost Second Round,1996-97,140.0,79.0,0.639,4.0,1.0,,,324,212,0.604,7.0,2.0,,
Tom Brennan,Vermont,AEC,21.0,12.0,0.636,,,Lost First Round,1986-87,217.0,260.0,0.455,1.0,,,,263,318,0.453,1.0,,,
Mike Brey,Notre Dame,Big East,24.0,10.0,0.706,,22.0,Lost Regional Semifinal,2000-01,66.0,31.0,0.68,3.0,1.0,,,165,83,0.665,5.0,1.0,,
Kevin Bromley,Cal Poly,Big West,16.0,14.0,0.533,,,,2000-01,35.0,38.0,0.479,,,,,35,38,0.479,,,,
Will Brown,Albany (NY),AEC,7.0,21.0,0.25,,,,2001-02,14.0,34.0,0.292,,,,,14,34,0.292,,,,
Brad Brownell,UNC Wilmington,CAA,24.0,7.0,0.774,,,Lost First Round,2002-03,24.0,7.0,0.774,1.0,,,,24,7,0.774,1.0,,,
Tim Buckley,Ball State,MAC,13.0,17.0,0.433,,,,2000-01,54.0,41.0,0.568,,,,,54,41,0.568,,,,
Rick Byrd,Belmont,A-Sun,17.0,12.0,0.586,,,,1999-00,48.0,65.0,0.425,,,,,48,65,0.425,,,,
Jim Calhoun,UConn,Big East,23.0,10.0,0.697,15.0,23.0,Lost Regional Semifinal,1986-87,401.0,160.0,0.715,11.0,9.0,1.0,1.0,649,297,0.686,16.0,9.0,1.0,1.0
John Calipari,Memphis,CUSA,23.0,7.0,0.767,,19.0,Lost First Round,2000-01,71.0,31.0,0.696,1.0,,,,264,102,0.721,6.0,3.0,1.0,
Dave Calloway,Monmouth,NEC,15.0,13.0,0.536,,,,1997-98,74.0,82.0,0.474,1.0,,,,74,82,0.474,1.0,,,
Bret Campbell,UT-Martin,OVC,14.0,14.0,0.5,,,,1999-00,49.0,65.0,0.43,,,,,49,65,0.43,,,,
Jeff Capel III,VCU,CAA,18.0,10.0,0.643,,,,2002-03,18.0,10.0,0.643,,,,,18,10,0.643,,,,
Bill Carmody,Northwestern,Big Ten,12.0,17.0,0.414,,,,2000-01,39.0,49.0,0.443,,,,,131,74,0.639,2.0,,,
Terry Carroll,Denver,Sun Belt,17.0,15.0,0.531,,,,2001-02,25.0,35.0,0.417,,,,,25,35,0.417,,,,
Tim Carter,UTSA,Southland,10.0,17.0,0.37,,,,1995-96,115.0,108.0,0.516,1.0,,,,115,108,0.516,1.0,,,
John Chaney,Temple,A-10,18.0,16.0,0.529,,,,1982-83,468.0,210.0,0.69,17.0,5.0,,,468,210,0.69,17.0,5.0,,
Jim Christian,Kent State,MAC,21.0,10.0,0.677,,,,2002-03,21.0,10.0,0.677,,,,,21,10,0.677,,,,
Perry Clark,Miami (FL),Big East,11.0,17.0,0.393,,,,2000-01,51.0,38.0,0.573,1.0,,,,236,183,0.563,4.0,,,
Steve Cleveland,BYU,MWC,23.0,9.0,0.719,,,Lost First Round,1997-98,108.0,78.0,0.581,2.0,,,,108,78,0.581,2.0,,,
Charlie Coles,Miami (OH),MAC,13.0,15.0,0.464,,,,1996-97,120.0,93.0,0.563,2.0,1.0,,,211,178,0.542,3.0,1.0,,
Barry Collier,Nebraska,Big 12,11.0,19.0,0.367,,,,2000-01,38.0,50.0,0.432,,,,,234,182,0.562,3.0,,,
Bobby Collins,Hampton,MEAC,19.0,11.0,0.633,,,,2002-03,19.0,11.0,0.633,,,,,19,11,0.633,,,,
Jimmy Collins,UIC,Horizon,21.0,9.0,0.7,,,,1996-97,107.0,101.0,0.514,2.0,,,,107,101,0.514,2.0,,,
Ronnie Courtney,Texas Southern,SWAC,18.0,13.0,0.581,,,Lost Opening Round,2001-02,29.0,30.0,0.492,1.0,,,,29,30,0.492,1.0,,,
Joe Cravens,Weber State,Big Sky,26.0,6.0,0.812,,,Lost First Round,1999-00,77.0,41.0,0.653,1.0,,,,131,94,0.582,1.0,,,
Tom Crean,Marquette,CUSA,27.0,6.0,0.818,18.0,9.0,Lost National Semifinal,1999-00,83.0,41.0,0.669,2.0,1.0,1.0,,83,41,0.669,2.0,1.0,1.0,
Jim Crews,Army,Patriot,5.0,22.0,0.185,,,,2002-03,5.0,22.0,0.185,,,,,299,231,0.564,4.0,,,
Dan Dakich,Bowling Green State,MAC,13.0,16.0,0.448,,,,1997-98,102.0,73.0,0.583,,,,,102,73,0.583,,,,
Donny Daniels,Cal State Fullerton,Big West,10.0,19.0,0.345,,,,2000-01,20.0,64.0,0.238,,,,,20,64,0.238,,,,
Ed Daniels,Savannah State,Ind,3.0,24.0,0.111,,,,2002-03,3.0,24.0,0.111,,,,,3,24,0.111,,,,
Dick Davey,Santa Clara,WCC,13.0,15.0,0.464,,,,1992-93,186.0,132.0,0.585,3.0,,,,186,132,0.585,3.0,,,
Emmett Davis,Colgate,Patriot,14.0,14.0,0.5,,,,1998-99,71.0,70.0,0.504,,,,,71,70,0.504,,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,16.0,14.0,0.533,,,,2002-03,16.0,14.0,0.533,,,,,87,64,0.576,2.0,,,
Larry Davis,Furman,Southern,14.0,17.0,0.452,,,,1997-98,76.0,101.0,0.429,,,,,76,101,0.429,,,,
Mike Davis,Indiana,Big Ten,21.0,13.0,0.618,21.0,,Lost Second Round,2000-01,67.0,38.0,0.638,3.0,1.0,1.0,,67,38,0.638,3.0,1.0,1.0,
Ed DeChellis,ETSU,Southern,20.0,11.0,0.645,,,Lost First Round,1996-97,105.0,93.0,0.53,1.0,,,,105,93,0.53,1.0,,,
Joe DeSantis,Quinnipiac,NEC,17.0,12.0,0.586,,,,1998-99,64.0,77.0,0.454,,,,,64,77,0.454,,,,
Don DeVoe,Navy,Patriot,8.0,20.0,0.286,,,,1992-93,179.0,138.0,0.565,3.0,,,,507,366,0.581,10.0,2.0,,
Mike Deane,Lamar,Southland,13.0,14.0,0.481,,,,1999-00,52.0,62.0,0.456,1.0,,,,318,194,0.621,4.0,,,
Mike Dement,SMU,WAC,17.0,13.0,0.567,,,,1995-96,128.0,105.0,0.549,,,,,250,228,0.523,1.0,,,
Pat Dennis,The Citadel,Southern,8.0,20.0,0.286,,,,1992-93,129.0,174.0,0.426,,,,,129,174,0.426,,,,
Howie Dickenman,Central Connecticut,NEC,15.0,13.0,0.536,,,,1996-97,112.0,92.0,0.549,2.0,,,,112,92,0.549,2.0,,,
Sherman Dillard,James Madison,CAA,13.0,17.0,0.433,,,,1997-98,86.0,85.0,0.503,,,,,115,136,0.458,,,,
Matt Doherty,UNC,ACC,19.0,16.0,0.543,,,,2000-01,53.0,43.0,0.552,1.0,,,,75,58,0.564,1.0,,,
Steve Donahue,Cornell,Ivy,9.0,18.0,0.333,,,,2000-01,21.0,60.0,0.259,,,,,21,60,0.259,,,,
Billy Donovan,Florida,SEC,25.0,8.0,0.758,7.0,10.0,Lost Second Round,1996-97,149.0,73.0,0.671,5.0,2.0,1.0,,184,93,0.664,5.0,2.0,1.0,
Neil Dougherty,TCU,CUSA,9.0,19.0,0.321,,,,2002-03,9.0,19.0,0.321,,,,,9,19,0.321,,,,
Pat Douglass,UC-Irvine,Big West,20.0,9.0,0.69,,,,1997-98,95.0,77.0,0.552,,,,,95,77,0.552,,,,
Scott Drew,Valparaiso,Mid-Cont,20.0,11.0,0.645,,,,2002-03,20.0,11.0,0.645,,,,,20,11,0.645,,,,
Lefty Driesell,Georgia State,A-Sun,4.0,6.0,0.4,,,,1997-98,103.0,59.0,0.636,1.0,,,,786,394,0.666,13.0,8.0,,
Jerry Dunn,Penn State,Big Ten,7.0,21.0,0.25,,,,1995-96,117.0,121.0,0.492,2.0,1.0,,,117,121,0.492,2.0,1.0,,
Fran Dunphy,Penn,Ivy,22.0,6.0,0.786,,,Lost First Round,1989-90,253.0,135.0,0.652,7.0,,,,253,135,0.652,7.0,,,
Randy Dunton,Liberty,Big South,14.0,15.0,0.483,,,,1997-98,25.0,32.0,0.439,,,,,25,32,0.439,,,,
Hugh Durham,Jacksonville,A-Sun,13.0,16.0,0.448,,,,1997-98,77.0,91.0,0.458,,,,,605,402,0.601,8.0,2.0,2.0,
Mick Durham,Montana State,Big Sky,11.0,16.0,0.407,,,,1990-91,203.0,171.0,0.543,1.0,,,,203,171,0.543,1.0,,,
Bo Ellis,Chicago State,Mid-Cont,3.0,15.0,0.167,,,,1998-99,23.0,106.0,0.178,,,,,23,106,0.178,,,,
Cliff Ellis,Auburn,SEC,22.0,12.0,0.647,,,Lost Regional Semifinal,1994-95,172.0,111.0,0.608,3.0,2.0,,,522,324,0.617,8.0,3.0,,
Craig Esherick,Georgetown,Big East,19.0,15.0,0.559,,,,1998-99,90.0,59.0,0.604,1.0,1.0,,,90,59,0.604,1.0,1.0,,
Larry Eustachy,Iowa State,Big 12,17.0,14.0,0.548,,,,1998-99,101.0,59.0,0.631,2.0,1.0,,,260,145,0.642,3.0,1.0,,
Bill Evans,Southern Utah,Mid-Cont,11.0,17.0,0.393,,,,1991-92,159.0,156.0,0.505,1.0,,,,159,156,0.505,1.0,,,
Jessie Evans,Louisiana,Sun Belt,20.0,10.0,0.667,,,,1997-98,112.0,72.0,0.609,1.0,,,,112,72,0.609,1.0,,,
Rob Evans,Arizona State,Pac-10,20.0,12.0,0.625,,,Lost Second Round,1998-99,80.0,72.0,0.526,1.0,,,,166,153,0.52,3.0,,,
Ron Everhart,Northeastern,AEC,16.0,15.0,0.516,,,,2001-02,23.0,36.0,0.39,,,,,115,140,0.451,,,,
Houston Fancher,Appalachian State,Southern,19.0,10.0,0.655,,,,2000-01,40.0,48.0,0.455,,,,,40,48,0.455,,,,
Larry Farmer,Loyola (IL),Horizon,15.0,16.0,0.484,,,,1998-99,62.0,82.0,0.431,,,,,157,159,0.497,1.0,,,
Dave Faucher,Dartmouth,Ivy,8.0,19.0,0.296,,,,1991-92,133.0,183.0,0.421,,,,,133,183,0.421,,,,
Dennis Felton,Western Kentucky,Sun Belt,24.0,9.0,0.727,20.0,,Lost First Round,1998-99,100.0,54.0,0.649,3.0,,,,100,54,0.649,3.0,,,
Jim Ferry,LIU,NEC,9.0,19.0,0.321,,,,2002-03,9.0,19.0,0.321,,,,,9,19,0.321,,,,
Mark Few,Gonzaga,WCC,24.0,9.0,0.727,22.0,,Lost Second Round,1999-00,105.0,29.0,0.784,4.0,2.0,,,105,29,0.784,4.0,2.0,,
Shawn Finney,Tulane,CUSA,16.0,15.0,0.516,,,,2000-01,39.0,51.0,0.433,,,,,39,51,0.433,,,,
Steve Fisher ,San Diego State,MWC,16.0,14.0,0.533,,,,1999-00,56.0,63.0,0.471,1.0,,,,240,145,0.623,8.0,4.0,3.0,1.0
Pat Flannery,Bucknell,Patriot,14.0,15.0,0.483,,,,1994-95,135.0,121.0,0.527,,,,,135,121,0.527,,,,
Bruiser Flint,Drexel,CAA,19.0,12.0,0.613,,,,2001-02,33.0,26.0,0.559,,,,,119,98,0.548,2.0,,,
Travis Ford,Eastern Kentucky,OVC,11.0,17.0,0.393,,,,2000-01,25.0,56.0,0.309,,,,,25,56,0.309,,,,
Jerry Francis,Prairie View,SWAC,17.0,12.0,0.586,,,,2002-03,17.0,12.0,0.586,,,,,17,12,0.586,,,,
Dwight Freeman,Norfolk State,MEAC,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,60,80,0.429,,,,
Ron Ganulin,St. Francis (NY),NEC,14.0,16.0,0.467,,,,1991-92,159.0,179.0,0.47,,,,,159,179,0.47,,,,
Gary Garner,Southeast Missouri State,OVC,11.0,19.0,0.367,,,,1997-98,93.0,82.0,0.531,1.0,,,,188,186,0.503,1.0,,,
Ray Giacoletti,Eastern Washington,Big Sky,18.0,13.0,0.581,,,,2000-01,52.0,37.0,0.584,,,,,52,37,0.584,,,,
John Giannini,Maine,AEC,14.0,16.0,0.467,,,,1996-97,105.0,101.0,0.51,,,,,105,101,0.51,,,,
Pete Gillen,Virginia,ACC,16.0,16.0,0.5,,,,1998-99,86.0,65.0,0.57,1.0,,,,360,193,0.651,9.0,2.0,,
Mike Gillespie,Florida A&M,MEAC,17.0,12.0,0.586,,,,2001-02,26.0,31.0,0.456,,,,,26,31,0.456,,,,
Billy Gillispie,UTEP,WAC,6.0,24.0,0.2,,,,2002-03,6.0,24.0,0.2,,,,,6,24,0.2,,,,
Bobby Gonzalez,Manhattan,MAAC,23.0,7.0,0.767,,,Lost First Round,1999-00,69.0,46.0,0.6,1.0,,,,69,46,0.6,1.0,,,
Mark Gottfried,Alabama,SEC,17.0,12.0,0.586,8.0,,Lost First Round,1998-99,99.0,62.0,0.615,2.0,,,,167,86,0.66,4.0,,,
Greg Graham,Boise State,WAC,13.0,16.0,0.448,,,,2002-03,13.0,16.0,0.448,,,,,13,16,0.448,,,,
Paul Graham,Washington State,Pac-10,7.0,20.0,0.259,,,,1999-00,31.0,79.0,0.282,,,,,31,79,0.282,,,,
James Green,Southern Miss,CUSA,13.0,16.0,0.448,,,,1996-97,110.0,96.0,0.534,,,,,110,96,0.534,,,,
Sidney Green,Florida Atlantic,A-Sun,7.0,21.0,0.25,,,,1999-00,35.0,85.0,0.292,1.0,,,,35,85,0.292,1.0,,,
Tom Green,FDU,NEC,15.0,14.0,0.517,,,,1983-84,321.0,255.0,0.557,3.0,,,,321,255,0.557,3.0,,,
Seth Greenberg,South Florida,CUSA,15.0,14.0,0.517,,,,1996-97,108.0,100.0,0.519,,,,,213,170,0.556,2.0,,,
Billy Hahn,La Salle,A-10,12.0,17.0,0.414,,,,2001-02,27.0,34.0,0.443,,,,,69,79,0.466,,,,
Leonard Hamilton,Florida State,ACC,14.0,15.0,0.483,,,,2002-03,14.0,15.0,0.483,,,,,214,225,0.487,3.0,1.0,,
Don Harnum,Rider,MAAC,12.0,16.0,0.429,,,,1997-98,91.0,79.0,0.535,,,,,160,136,0.541,,,,
Jim Harrick,Georgia,SEC,19.0,8.0,0.704,16.0,25.0,,1999-00,67.0,53.0,0.558,2.0,,,,470,235,0.667,16.0,4.0,1.0,1.0
Larry Harrison,Hartford,AEC,16.0,13.0,0.552,,,,2000-01,34.0,55.0,0.382,,,,,34,55,0.382,,,,
Stan Heath,Arkansas,SEC,9.0,19.0,0.321,,,,2002-03,9.0,19.0,0.321,,,,,39,25,0.609,1.0,1.0,,
David Henderson,Delaware,CAA,15.0,14.0,0.517,,,,2000-01,49.0,40.0,0.551,,,,,49,40,0.551,,,,
Lou Henson ,New Mexico State,Sun Belt,20.0,9.0,0.69,,,,1966-67,290.0,138.0,0.678,7.0,3.0,1.0,,778,400,0.66,19.0,7.0,2.0,
Bill Herrion,East Carolina,CUSA,12.0,15.0,0.444,,,,1999-00,48.0,65.0,0.425,,,,,215,136,0.613,3.0,,,
Tom Herrion,College of Charleston,Southern,25.0,8.0,0.758,,,,2002-03,25.0,8.0,0.758,,,,,25,8,0.758,,,,
Paul Hewitt,Georgia Tech,ACC,16.0,15.0,0.516,,,,2000-01,48.0,44.0,0.522,1.0,,,,114,71,0.616,2.0,,,
Scott Hicks,Loyola (MD),MAAC,4.0,24.0,0.143,,,,2000-01,15.0,70.0,0.176,,,,,26,87,0.23,,,,
Armond Hill,Columbia,Ivy,2.0,25.0,0.074,,,,1995-96,72.0,141.0,0.338,,,,,72,141,0.338,,,,
Bob Hill,Fordham,A-10,2.0,26.0,0.071,,,,1999-00,36.0,78.0,0.316,,,,,36,78,0.316,,,,
Barry Hinson,Missouri State,MVC,17.0,12.0,0.586,,,,1999-00,70.0,54.0,0.565,,,,,106,77,0.579,,,,
Dan Hipsher,Akron,MAC,14.0,14.0,0.5,,,,1995-96,99.0,122.0,0.448,,,,,128,149,0.462,,,,
Karl Hobbs,George Washington,A-10,12.0,17.0,0.414,,,,2001-02,24.0,33.0,0.421,,,,,24,33,0.421,,,,
Bob Hoffman,Texas-Rio Grande Valley,Ind,10.0,20.0,0.333,,,,1999-00,54.0,63.0,0.462,,,,,54,63,0.462,,,,
Brad Holland,San Diego,WCC,18.0,12.0,0.6,,,Lost First Round,1994-95,144.0,111.0,0.565,1.0,,,,167,142,0.54,1.0,,,
Van Holt,Arkansas-Pine Bluff,SWAC,4.0,24.0,0.143,,,,2002-03,4.0,24.0,0.143,,,,,4,24,0.143,,,,
Michael Holton,Portland,WCC,11.0,17.0,0.393,,,,2001-02,17.0,41.0,0.293,,,,,17,41,0.293,,,,
Ben Howland,Pitt,Big East,28.0,5.0,0.848,5.0,4.0,Lost Regional Semifinal,1999-00,89.0,40.0,0.69,2.0,2.0,,,166,101,0.622,3.0,2.0,,
Bob Huggins,Cincinnati,CUSA,17.0,12.0,0.586,23.0,,Lost First Round,1989-90,348.0,113.0,0.755,12.0,4.0,1.0,,445,159,0.737,13.0,4.0,1.0,
Michael Hunt,Towson,CAA,4.0,24.0,0.143,,,,2001-02,15.0,42.0,0.263,,,,,15,42,0.263,,,,
Curtis Hunter,North Carolina A&T,MEAC,1.0,26.0,0.037,,,,1999-00,39.0,75.0,0.342,,,,,39,75,0.342,,,,
Ron Hunter,IU Indianapolis,Mid-Cont,20.0,14.0,0.588,,,Lost First Round,1998-99,64.0,84.0,0.432,1.0,,,,64,84,0.432,1.0,,,
Tom Izzo,Michigan State,Big Ten,22.0,13.0,0.629,9.0,,Lost Regional Final,1995-96,189.0,78.0,0.708,6.0,5.0,3.0,1.0,189,78,0.708,6.0,5.0,3.0,1.0
Greg Jackson,Delaware State,MEAC,15.0,12.0,0.556,,,,2000-01,44.0,40.0,0.524,,,,,44,40,0.524,,,,
Mike Jarvis,St. John's (NY),Big East,21.0,13.0,0.618,,,,1998-99,108.0,57.0,0.655,3.0,1.0,,,361,198,0.646,9.0,2.0,,
Jerome Jenkins,Sacramento State,Big Sky,12.0,17.0,0.414,,,,2000-01,26.0,58.0,0.31,,,,,26,58,0.31,,,,
Ben Jobe,Southern,SWAC,9.0,20.0,0.31,,,,1986-87,208.0,142.0,0.594,4.0,,,,255,179,0.588,4.0,,,
Jay John,Oregon State,Pac-10,13.0,15.0,0.464,,,,2002-03,13.0,15.0,0.464,,,,,13,15,0.464,,,,
Kevin Johnson,Centenary (LA),Ind,14.0,14.0,0.5,,,,1999-00,46.0,64.0,0.418,,,,,46,64,0.418,,,,
Phil Johnson,San Jose State,WAC,7.0,21.0,0.25,,,,1998-99,19.0,37.0,0.339,,,,,19,37,0.339,,,,
Trent Johnson,Nevada,WAC,18.0,14.0,0.562,,,,1999-00,54.0,65.0,0.454,,,,,54,65,0.454,,,,
Bobby Jones,Saint Francis (PA),NEC,14.0,14.0,0.5,,,,1999-00,39.0,71.0,0.355,,,,,39,71,0.355,,,,
James Jones,Yale,Ivy,14.0,13.0,0.519,,,,1999-00,52.0,61.0,0.46,,,,,52,61,0.46,,,,
Jeff Jones,American,Patriot,16.0,14.0,0.533,,,,2000-01,41.0,46.0,0.471,,,,,187,150,0.555,5.0,2.0,,
Johnny Jones,North Texas,Sun Belt,7.0,21.0,0.25,,,,2001-02,22.0,35.0,0.386,,,,,37,51,0.42,,,,
Kevin Jones,Chicago State,Mid-Cont,0.0,12.0,0.0,,,,2002-03,0.0,12.0,0.0,,,,,0,12,0.0,,,,
Stan Joplin,Toledo,MAC,13.0,16.0,0.448,,,,1996-97,116.0,89.0,0.566,,,,,116,89,0.566,,,,
Rob Judson,Northern Illinois,MAC,17.0,14.0,0.548,,,,2001-02,29.0,30.0,0.492,,,,,29,30,0.492,,,,
Greg Kampe,Oakland,Mid-Cont,17.0,11.0,0.607,,,,1999-00,59.0,57.0,0.509,,,,,59,57,0.509,,,,
Kurt Kanaskie,Drake,MVC,10.0,20.0,0.333,,,,1996-97,62.0,136.0,0.313,,,,,62,136,0.313,,,,
Danny Kaspar,Stephen F. Austin,Southland,21.0,8.0,0.724,,,,2000-01,43.0,40.0,0.518,,,,,43,40,0.518,,,,
Gene Keady,Purdue,Big Ten,19.0,11.0,0.633,,,Lost Second Round,1980-81,488.0,235.0,0.675,17.0,5.0,,,526,254,0.674,18.0,5.0,,
Billy Kennedy,Southeastern Louisiana,Southland,11.0,16.0,0.407,,,,1999-00,36.0,74.0,0.327,,,,,60,108,0.357,,,,
Pat Kennedy,Montana,Big Sky,13.0,17.0,0.433,,,,2002-03,13.0,17.0,0.433,,,,,406,293,0.581,8.0,2.0,,
Ernie Kent,Oregon,Pac-10,23.0,10.0,0.697,11.0,,Lost First Round,1997-98,117.0,68.0,0.632,3.0,1.0,,,207,148,0.583,4.0,1.0,,
Jim Kerwin,Western Illinois,Mid-Cont,7.0,21.0,0.25,,,,1992-93,134.0,175.0,0.434,,,,,134,175,0.434,,,,
Bob Knight,Texas Tech,Big 12,22.0,13.0,0.629,,,,2001-02,45.0,22.0,0.672,1.0,,,,806,314,0.72,25.0,14.0,5.0,3.0
Tod Kowalczyk,Green Bay,Horizon,10.0,20.0,0.333,,,,2002-03,10.0,20.0,0.333,,,,,10,20,0.333,,,,
Mike Krzyzewski,Duke,ACC,26.0,7.0,0.788,6.0,7.0,Lost Regional Semifinal,1980-81,590.0,175.0,0.771,19.0,14.0,9.0,3.0,663,234,0.739,19.0,14.0,9.0,3.0
Mike LaPlante,Jacksonville State,A-Sun,20.0,10.0,0.667,,,,2000-01,42.0,45.0,0.483,,,,,42,45,0.483,,,,
Rob Lanier,Siena,MAAC,21.0,11.0,0.656,,,,2001-02,38.0,30.0,0.559,1.0,,,,38,30,0.559,1.0,,,
Steve Lappas,UMass,A-10,11.0,18.0,0.379,,,,2001-02,24.0,34.0,0.414,,,,,254,206,0.552,4.0,,,
Jim Larranaga,George Mason,CAA,16.0,12.0,0.571,,,,1997-98,100.0,74.0,0.575,2.0,,,,269,219,0.551,2.0,,,
Steve Lavin,UCLA,Pac-10,10.0,19.0,0.345,14.0,,,1996-97,145.0,78.0,0.65,6.0,5.0,,,145,78,0.65,6.0,5.0,,
Dale Layer,Colorado State,MWC,19.0,14.0,0.576,,,Lost First Round,2000-01,46.0,45.0,0.505,1.0,,,,46,45,0.505,1.0,,,
Jeff Lebo,Chattanooga,Southern,21.0,9.0,0.7,,,,2002-03,21.0,9.0,0.7,,,,,96,52,0.649,,,,
Bob Leckie,St. Peter's,MAAC,10.0,19.0,0.345,,,,2000-01,18.0,67.0,0.212,,,,,18,67,0.212,,,,
Billy Lee,Campbell,A-Sun,5.0,22.0,0.185,,,,1985-86,216.0,286.0,0.43,1.0,,,,216,286,0.43,1.0,,,
Dave Leitao,DePaul,CUSA,16.0,13.0,0.552,,,,2002-03,16.0,13.0,0.552,,,,,38,48,0.442,,,,
Jim Les,Bradley,MVC,12.0,18.0,0.4,,,,2002-03,12.0,18.0,0.4,,,,,12,18,0.4,,,,
Hosea Lewis,Tennessee State,OVC,0.0,16.0,0.0,,,,2002-03,0.0,16.0,0.0,,,,,0,16,0.0,,,,
Todd Lickliter,Butler,Horizon,27.0,6.0,0.818,,,Lost Regional Semifinal,2001-02,53.0,12.0,0.815,1.0,1.0,,,53,12,0.815,1.0,1.0,,
Dave Loos,Austin Peay,OVC,23.0,8.0,0.742,,,Lost First Round,1990-91,198.0,181.0,0.522,2.0,,,,198,181,0.522,2.0,,,
Ray Lopes,Fresno State,WAC,20.0,8.0,0.714,,,,2002-03,20.0,8.0,0.714,,,,,20,8,0.714,,,,
Bobby Lutz,Charlotte,CUSA,13.0,16.0,0.448,,,,1998-99,93.0,66.0,0.585,3.0,,,,93,66,0.585,3.0,,,
Mike MacDonald,Canisius,MAAC,10.0,18.0,0.357,,,,1997-98,78.0,95.0,0.451,,,,,78,95,0.451,,,,
